1647322538.4886153	0 Bytes
1647322542.7771554	0 Bytes
1647322543.7818778	43.0 kB
1647322544.813904	104.5 kB
1647322545.8157268	155.5 kB
1647322546.8298683	194.3 kB
1647322547.8698297	221.5 kB
1647322548.8757696	243.6 kB
1647322549.877131	250.5 kB
1647322550.8863688	250.5 kB
1647322551.9017277	262.1 kB
1647322552.9418824	278.1 kB
1647322553.9420843	288.4 kB
1647322554.9594917	304.2 kB
1647322555.9688888	315.9 kB
1647322556.9703186	326.8 kB
1647322557.9738746	336.4 kB
1647322558.9961598	336.9 kB
1647322560.0059876	343.7 kB
1647322561.013867	346.0 kB
1647322562.0299318	352.4 kB
1647322563.030143	355.0 kB
1647322564.0618975	359.1 kB
1647322565.0750718	364.6 kB
