1647322160.6665494	0 Bytes
1647322173.7229216	0 Bytes
1647322174.7326198	0 Bytes
1647322175.9353585	476 Bytes
1647322176.9368856	449 Bytes
1647322177.9384162	424 Bytes
1647322178.9399412	402 Bytes
1647322179.941417	382 Bytes
1647322180.9429126	364 Bytes
1647322181.9443862	348 Bytes
1647322182.9458613	333 Bytes
1647322183.9473498	319 Bytes
1647322185.8852687	903 Bytes
1647322187.0317237	1.1 kB
1647322188.0613985	1.5 kB
1647322189.4388392	2.3 kB
1647322190.7267764	2.7 kB
1647322191.8270836	2.6 kB
1647322192.904968	3.6 kB
1647322193.9357088	4.3 kB
1647322195.0428839	4.8 kB
1647322196.1426678	4.8 kB
1647322197.2784774	4.7 kB
1647322198.3268387	4.9 kB
1647322199.4051094	5.2 kB
1647322200.4855835	5.8 kB
1647322201.7872868	6.0 kB
1647322203.1128793	6.3 kB
1647322204.1377819	6.9 kB
1647322205.3425598	7.0 kB
1647322206.3440342	6.8 kB
1647322207.4262044	6.9 kB
1647322208.44994	7.3 kB
1647322209.969443	7.4 kB
1647322211.370983	7.4 kB
1647322212.3946993	7.9 kB
1647322213.4032671	8.6 kB
1647322215.266677	8.9 kB
1647322216.2960327	9.1 kB
1647322218.058339	9.2 kB
1647322219.1367764	9.1 kB
1647322220.8232775	9.2 kB
1647322221.8717232	9.5 kB
1647322222.8721874	9.4 kB
1647322223.9124122	9.9 kB
1647322224.9398382	10.6 kB
1647322225.9496381	11.6 kB
1647322227.005407	13.1 kB
1647322228.0305676	14.7 kB
1647322229.0311525	17.5 kB
1647322230.0369296	18.9 kB
1647322231.0824907	19.8 kB
1647322232.1145918	20.0 kB
1647322233.312146	21.1 kB
1647322234.3871741	21.2 kB
1647322235.6883438	21.0 kB
1647322237.4052637	20.9 kB
1647322238.4850113	21.2 kB
1647322239.5656967	21.3 kB
1647322240.574836	21.3 kB
1647322241.7452235	21.2 kB
1647322242.81771	21.2 kB
1647322243.8753939	21.2 kB
1647322244.935942	21.2 kB
1647322246.302432	21.0 kB
1647322247.3523514	21.1 kB
1647322248.6662838	21.3 kB
1647322249.836926	21.5 kB
1647322250.8816185	21.5 kB
1647322251.9902184	21.8 kB
1647322252.9919198	21.9 kB
1647322254.1902127	21.7 kB
1647322255.2065692	22.1 kB
1647322256.2172027	22.2 kB
1647322257.23767	22.6 kB
1647322258.279763	23.1 kB
1647322259.4309793	23.0 kB
1647322260.4488907	23.1 kB
1647322262.2380013	23.0 kB
1647322263.2394397	22.8 kB
1647322264.2528298	22.7 kB
1647322265.2872474	22.7 kB
1647322266.411218	22.7 kB
1647322267.4845195	22.8 kB
1647322268.5039759	22.9 kB
1647322269.5215507	22.9 kB
1647322271.1543913	22.7 kB
1647322272.156996	22.7 kB
1647322273.1747677	22.7 kB
1647322274.1780539	23.1 kB
1647322275.2323225	23.1 kB
1647322276.3014908	23.2 kB
1647322277.6231399	23.3 kB
1647322278.7170494	23.2 kB
1647322279.7585754	23.2 kB
1647322281.0996242	23.1 kB
1647322282.1475441	23.2 kB
1647322283.1527205	23.2 kB
1647322284.3260236	23.6 kB
1647322285.8923035	24.0 kB
1647322286.9106188	24.2 kB
1647322287.91933	24.5 kB
1647322289.04994	24.5 kB
1647322290.1513638	24.5 kB
1647322291.743856	24.4 kB
1647322292.7453492	24.2 kB
1647322293.746837	24.0 kB
1647322294.7483423	23.9 kB
1647322295.7499173	23.7 kB
1647322296.8033874	23.6 kB
1647322297.8117964	23.8 kB
1647322299.0419466	24.2 kB
1647322300.050244	24.3 kB
1647322301.0742126	25.1 kB
1647322302.117076	25.9 kB
1647322303.1234171	26.3 kB
1647322304.2972264	26.4 kB
1647322305.3219368	26.5 kB
1647322307.076903	26.6 kB
1647322308.3619661	26.5 kB
1647322309.4343262	26.5 kB
1647322310.53423	26.3 kB
1647322311.5541933	26.2 kB
1647322312.63043	26.1 kB
1647322313.777738	26.0 kB
1647322314.9407203	25.9 kB
1647322316.35968	25.8 kB
1647322317.5205905	25.8 kB
1647322318.5235636	25.7 kB
1647322319.9438045	25.6 kB
1647322321.0058517	25.5 kB
1647322322.4224586	25.3 kB
1647322323.535318	25.2 kB
1647322324.5545638	25.4 kB
1647322325.655619	25.4 kB
1647322326.6597943	25.4 kB
1647322327.6657627	25.4 kB
1647322328.6826131	25.6 kB
1647322329.6972334	25.6 kB
1647322330.7174778	25.5 kB
1647322331.8109906	25.5 kB
1647322333.491399	25.3 kB
1647322334.5885818	25.2 kB
1647322335.6545072	25.1 kB
1647322336.6853082	25.1 kB
1647322337.73146	25.2 kB
1647322338.7472272	25.2 kB
1647322339.8157716	25.2 kB
1647322340.9183912	25.1 kB
1647322341.9755332	25.0 kB
