1647319195.3953993	0 Bytes
1647319200.130153	0 Bytes
1647319201.1332107	5.6 kB
1647319202.1399372	22.8 kB
1647319203.1402082	43.5 kB
1647319204.1582043	66.4 kB
1647319205.1879082	90.3 kB
1647319206.2198818	111.5 kB
1647319207.2302427	128.0 kB
1647319208.2357428	141.0 kB
1647319209.271903	157.3 kB
1647319210.2998912	166.2 kB
1647319211.345664	179.3 kB
1647319212.3718488	188.3 kB
1647319213.4052372	195.1 kB
1647319214.415867	204.3 kB
1647319215.443893	211.9 kB
1647319216.5207198	215.9 kB
1647319217.5317962	221.4 kB
1647319218.5518725	225.1 kB
1647319219.580051	231.2 kB
1647319220.5925348	234.1 kB
1647319221.5975986	238.0 kB
1647319222.6319082	241.4 kB
1647319223.6478646	245.4 kB
1647319224.6718926	248.2 kB
1647319225.7460706	250.1 kB
1647319226.754927	251.3 kB
1647319228.1193705	247.3 kB
1647319229.1499877	251.4 kB
1647319230.1678603	254.0 kB
1647319231.2102022	255.1 kB
1647319232.2438722	258.1 kB
1647319233.24892	259.5 kB
1647319234.264009	262.0 kB
